countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
AU,Tony Smith,http://www.wikidata.org/entity/Q16197257,male,tonysmithmp,2932863030,Speaker of the House of Representatives || member of the Australian House of Representatives,Liberal Party of Australia,Coalition
AU,David Littleproud,http://www.wikidata.org/entity/Q25756209,male,d_littleproudmp,780554980847517696,member of the Australian House of Representatives,Liberal National Party of Queensland,Coalition
AU,Emma McBride,http://www.wikidata.org/entity/Q25844494,female,emma4dobell,702698265695760384,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Brian Mitchell,http://www.wikidata.org/entity/Q26695681,male,brianmitchellmp,16663973,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Julian Hill,http://www.wikidata.org/entity/Q27435059,male,julianhillmp,750658704949678081,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,James Stevens,http://www.wikidata.org/entity/Q63509173,male,james_stevens,16780488,member of the Australian House of Representatives,Liberal Party of Australia,Coalition
AU,Anne Stanley,http://www.wikidata.org/entity/Q25768264,female,annewerriwa,718781363898322944,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Peter Khalil,http://www.wikidata.org/entity/Q25756187,male,peterkhalilmp,253342973,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Helen Haines,http://www.wikidata.org/entity/Q41662205,female,helenhaines1,1192766132996001792,member of the Australian House of Representatives,independent politician,
AU,Kristy McBain,http://www.wikidata.org/entity/Q96970848,female,kristymcbain,2397620882,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Melissa McIntosh,http://www.wikidata.org/entity/Q64038211,female,mgrahmcintosh,286559955,member of the Australian House of Representatives,Liberal Party of Australia,Coalition
AU,Fiona Phillips,http://www.wikidata.org/entity/Q64038637,female,fiboydphillips,526287118,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Bridget Archer,http://www.wikidata.org/entity/Q64225996,female,bridgetarcher,174466784,member of the Australian House of Representatives,Liberal Party of Australia,Coalition
AU,Ted O'Brien,http://www.wikidata.org/entity/Q27435056,male,ted4fairfax,3241171038,member of the Australian House of Representatives,Liberal National Party of Queensland,Coalition
AU,Phillip Thompson,http://www.wikidata.org/entity/Q64009045,male,p_thompson88,929896339307053056,member of the Australian House of Representatives,Liberal National Party of Queensland,Coalition
AU,Anne Webster,http://www.wikidata.org/entity/Q64216519,female,annewebster2013,561565763,member of the Australian House of Representatives,National Party of Australia,Coalition
AU,Anika Wells,http://www.wikidata.org/entity/Q64205577,female,anikawells,19204267,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Nicolle Flint,http://www.wikidata.org/entity/Q25756083,female,nicolleflint,2400738924,member of the Australian House of Representatives,Liberal Party of Australia,Coalition
AU,Madeleine King,http://www.wikidata.org/entity/Q25756137,female,madeleinemhking,2902145304,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Chris Bowen,http://www.wikidata.org/entity/Q1077015,male,bowenchris,150856088,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Linda Burney,http://www.wikidata.org/entity/Q6551428,female,lindaburneymp,157861165,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Maria Vamvakinou,http://www.wikidata.org/entity/Q6761645,female,mariavamvakinou,308935814,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Nick Champion,http://www.wikidata.org/entity/Q7026894,male,nickchampionmp,85951515,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
AU,Richard Marles,http://www.wikidata.org/entity/Q7327642,male,richardmarlesmp,485139839,member of the Australian House of Representatives,Australian Labor Party,Australian Labor Party
