countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
AU,Richard Di Natale,http://www.wikidata.org/entity/Q186010,male,richarddinatale,37611292,member of the Australian Senate,Australian Greens,Australian Greens
AU,Katy Gallagher,http://www.wikidata.org/entity/Q463507,female,senkatyg,227531567,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Kim Carr,http://www.wikidata.org/entity/Q1639334,male,senkimcarr,711691441,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Richard Colbeck,http://www.wikidata.org/entity/Q7324825,male,richardmcolbeck,170526680,member of the Australian Senate,Liberal Party of Australia,Coalition
AU,Mehreen Faruqi,http://www.wikidata.org/entity/Q16728926,female,mehreenfaruqi,236713668,member of the Australian Senate,Australian Greens,Australian Greens
AU,Mathias Cormann,http://www.wikidata.org/entity/Q1813692,male,mathiascormann,43304756,member of the Australian Senate,Liberal Party of Australia,Coalition
AU,Anne Ruston,http://www.wikidata.org/entity/Q4768766,female,anne_ruston,44302241,member of the Australian Senate,Liberal Party of Australia,Coalition
AU,Glenn Sterle,http://www.wikidata.org/entity/Q5569124,male,glennsterle,570513390,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Helen Polley,http://www.wikidata.org/entity/Q16189453,female,polley_helen,929373746,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Marise Payne,http://www.wikidata.org/entity/Q16191011,female,marisepayne,2300779218,member of the Australian Senate,Liberal Party of Australia,Coalition
AU,Jenny McAllister,http://www.wikidata.org/entity/Q16732210,female,jennymcallister,44288405,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Lidia Thorpe,http://www.wikidata.org/entity/Q43285578,female,lidia__thorpe,844141009210556416,member of the Australian Senate,Australian Greens || Australian Greens Victoria,Australian Greens
AU,Tim Ayres,http://www.wikidata.org/entity/Q64152293,male,ayrestim,192875959,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Dean Smith,http://www.wikidata.org/entity/Q5246470,male,deansmithwa,538191458,member of the Australian Senate,Liberal Party of Australia,Coalition
AU,Murray Watt,http://www.wikidata.org/entity/Q6939517,male,murraywatt,304856790,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Sue Lines,http://www.wikidata.org/entity/Q16185446,female,linessue,133599328,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Jacqui Lambie,http://www.wikidata.org/entity/Q16731201,female,jacquilambie,2186207924,member of the Australian Senate,Jacqui Lambie Network,Jacqui Lambie Network
AU,Anthony Chisholm,http://www.wikidata.org/entity/Q18719336,male,anthonychisholm,108922449,member of the Australian Senate,Australian Labor Party,Australian Labor Party
AU,Stirling Griff,http://www.wikidata.org/entity/Q25324894,male,stirling_g,202574467,member of the Australian Senate,Centre Alliance,Centre Alliance
AU,Amanda Stoker,http://www.wikidata.org/entity/Q50808634,female,stoker_aj,996359407939174401,member of the Australian Senate,Liberal National Party of Queensland,Coalition
AU,Penny Wong,http://www.wikidata.org/entity/Q456759,female,senatorwong,529147678,member of the Australian Senate,Australian Labor Party,Australian Labor Party
