countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
CA,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,male,kerrydiotte,140960578,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Mario Beaulieu,http://www.wikidata.org/entity/Q17174697,male,mario_beaulieu,161748431,member of the House of Commons of Canada,Bloc Québécois,Bloc Québécois
CA,François-Philippe Champagne,http://www.wikidata.org/entity/Q21159815,male,fp_champagne,1707636642,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Raj Saini,http://www.wikidata.org/entity/Q22096931,male,rajsainimp || rajsaini4kitcen,1166076919701487617 || 2667603834,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Pam Damoff,http://www.wikidata.org/entity/Q22277495,female,pamdamoff,205786669,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Michael Levitt,http://www.wikidata.org/entity/Q22278851,male,levittmichael,31764814,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Salma Zahid,http://www.wikidata.org/entity/Q22282385,female,salmazahid15,2344419362,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Chrystia Freeland,http://www.wikidata.org/entity/Q4492815,female,cafreeland,203132018,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Francis Scarpaleggia,http://www.wikidata.org/entity/Q955143,male,scarpaleggialsl,200100603,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Alexandre Boulerice,http://www.wikidata.org/entity/Q2833494,male,alexboulerice,196717787,member of the House of Commons of Canada,New Democratic Party,New Democratic Party
CA,Dan Albas,http://www.wikidata.org/entity/Q3013003,male,danalbas,16278177,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Don Davies,http://www.wikidata.org/entity/Q3035763,male,dondavies,16189107,member of the House of Commons of Canada,New Democratic Party,New Democratic Party
CA,Justin Trudeau,http://www.wikidata.org/entity/Q3099714,male,justintrudeau || pmcanadien || canadianpm,14260960 || 14713836 || 14713787,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Joyce Murray,http://www.wikidata.org/entity/Q3187235,female,joycemurray,16180205,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Judy Sgro,http://www.wikidata.org/entity/Q3188045,female,judysgromp,1390883714,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Michael Chong,http://www.wikidata.org/entity/Q3308109,male,michaelchongmp,2223489614,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Omar Alghabra,http://www.wikidata.org/entity/Q3351821,male,omaralghabra,20199202,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Scott Reid,http://www.wikidata.org/entity/Q3476240,male,scottreidcpc,283179858,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Tim Uppal,http://www.wikidata.org/entity/Q3528703,male,timuppal,195820437,member of the House of Commons of Canada,Conservative Party of Canada || Canadian Alliance,Conservative Party of Canada
CA,Alice Wong,http://www.wikidata.org/entity/Q4726162,female,alicewongcanada,271343342,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Yvonne Jones,http://www.wikidata.org/entity/Q8062466,female,yvonnejjones,240786249,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Carol Hughes,http://www.wikidata.org/entity/Q16192760,female,carolhughesmp,60916234,member of the House of Commons of Canada,New Democratic Party,New Democratic Party
CA,Yvan Baker,http://www.wikidata.org/entity/Q17180515,male,yvan_baker,47692251,member of the House of Commons of Canada,Ontario Liberal Party,Liberal Party of Canada
CA,John Barlow,http://www.wikidata.org/entity/Q17305669,male,johnbarlowmp,270570153,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Majid Jowhari,http://www.wikidata.org/entity/Q21156165,male,majidjowhari,2229187188,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Gary Anandasangaree,http://www.wikidata.org/entity/Q21160212,male,gary_srp,1899063048,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Steve MacKinnon,http://www.wikidata.org/entity/Q21266477,male,stevenmackinnon,165812196,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Bardish Chagger,http://www.wikidata.org/entity/Q21402871,female,bardishkw,2696723713,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Marwan Tabbara,http://www.wikidata.org/entity/Q21471154,male,marwantabbaramp,3398024471,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada || independent politician
CA,Karina Gould,http://www.wikidata.org/entity/Q21716260,female,karinagould,61521038,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Leona Alleslev,http://www.wikidata.org/entity/Q22003106,female,leonaalleslev,2445479707,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Neil Ellis,http://www.wikidata.org/entity/Q22004200,male,neilrellis,122247581,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Julie Dzerowicz,http://www.wikidata.org/entity/Q22086204,female,juliedzerowicz,1942107584,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Ruby Sahota,http://www.wikidata.org/entity/Q22096924,female,rubysahotalib,49160271,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Cathay Wagantall,http://www.wikidata.org/entity/Q22116843,female,cathayw,1626700808,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,William Amos,http://www.wikidata.org/entity/Q22276800,male,willaamos,919714903,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
CA,Todd Doherty,http://www.wikidata.org/entity/Q22277600,male,todddohertymp,2988907684,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Rosemarie Falk,http://www.wikidata.org/entity/Q42666524,female,rosemarie_falk,4876239438,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Alexis Brunelle-Duceppe,http://www.wikidata.org/entity/Q72194331,male,alduceppe,803381983,member of the House of Commons of Canada,Bloc Québécois,Bloc Québécois
CA,Mark Strahl,http://www.wikidata.org/entity/Q771878,male,markstrahl,274831602,member of the House of Commons of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Charlie Angus,http://www.wikidata.org/entity/Q2960818,male,charlieangusndp,215632349,member of the House of Commons of Canada,New Democratic Party,New Democratic Party
CA,Emmanuel Dubourg,http://www.wikidata.org/entity/Q3052684,male,emmanueldubourg,1881004363,member of the House of Commons of Canada,Liberal Party of Canada || Parti libéral du Québec,Liberal Party of Canada
CA,Geoff Regan,http://www.wikidata.org/entity/Q3101057,male,geoffregan,76143039,member of the House of Commons of Canada,Liberal Party of Canada,Liberal Party of Canada
