countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
CA,Chantal Petitclerc,http://www.wikidata.org/entity/Q457113,female,cpetitclerc,47963372,member of the Senate of Canada,Independent Senators Group,
CA,Claude Carignan,http://www.wikidata.org/entity/Q2977137,male,senatcarignan,252351829,member of the Senate of Canada,Conservative Party of Canada,
CA,Dennis Dawson,http://www.wikidata.org/entity/Q3023150,male,dennis_dawson,140163731,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,
CA,Judith Seidman,http://www.wikidata.org/entity/Q3188008,female,judithseidman,544537289,member of the Senate of Canada,Conservative Party of Canada,
CA,Julie Miville-Dechêne,http://www.wikidata.org/entity/Q3189244,female,mivillej,169484874,member of the Senate of Canada,Independent Senators Group,Independent Senators Group
CA,Leo Housakos,http://www.wikidata.org/entity/Q3229562,male,senatorhousakos,4430660543,member of the Senate of Canada,Progressive Conservative Party of Canada || Canadian Alliance || Conservative Party of Canada,
CA,Mike Duffy,http://www.wikidata.org/entity/Q3313285,male,senduffy,2891424707,member of the Senate of Canada,,
CA,Patrick Brazeau,http://www.wikidata.org/entity/Q3369280,male,senatorbrazeau,3001554169,member of the Senate of Canada,Independent Conservative,
CA,Percy Downe,http://www.wikidata.org/entity/Q3375189,male,percydowne,149212376,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,
CA,Pierre-Hugues Boisvenu,http://www.wikidata.org/entity/Q3383128,male,senatboisvenu,3110433357,member of the Senate of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,David Wells,http://www.wikidata.org/entity/Q5240957,male,wellsdavid,78596808,member of the Senate of Canada,Conservative Party of Canada,
CA,Denise Batters,http://www.wikidata.org/entity/Q5257618,female,denisebatters,2422634642,member of the Senate of Canada,Conservative Party of Canada,
CA,Diane Bellemare,http://www.wikidata.org/entity/Q5271402,female,sendbellemare,1426402920,member of the Senate of Canada,Conservative Party of Canada,
CA,Don Plett,http://www.wikidata.org/entity/Q5293328,male,donplett,1395906121,member of the Senate of Canada,Conservative Party of Canada,
CA,Doug Black,http://www.wikidata.org/entity/Q5300309,male,dougblackab,373543624,member of the Senate of Canada,Conservative Party of Canada,
CA,Elaine McCoy,http://www.wikidata.org/entity/Q5353253,female,senelainemccoy,34010100,member of the Senate of Canada,Progressive Conservative Association of Alberta || Progressive Conservative Party of Canada,
CA,Grant Mitchell,http://www.wikidata.org/entity/Q5596353,male,senmitchell,69719296,member of the Senate of Canada,Senate Liberal Caucus || Alberta Liberal Party || Liberal Party of Canada,Senate Liberal Caucus
CA,Jane Cordy,http://www.wikidata.org/entity/Q6151275,female,senatorcordy,4364536217,member of the Senate of Canada,Progressive Senate Group || Senate Liberal Caucus || Liberal Party of Canada,
CA,Jean-Guy Dagenais,http://www.wikidata.org/entity/Q6169316,male,senatdagenais,522532843,member of the Senate of Canada,Conservative Party of Canada,
CA,Jim Cowan,http://www.wikidata.org/entity/Q6194381,male,sencowan,1112540888,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,
CA,Jim Munson,http://www.wikidata.org/entity/Q6197083,male,senatormunson,309215071,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,
CA,Joseph A. Day,http://www.wikidata.org/entity/Q6280781,male,sendaynb,781524939748900864,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,
CA,Linda Frum,http://www.wikidata.org/entity/Q6551575,female,lindafrum,171606833,member of the Senate of Canada,Conservative Party of Canada,
CA,Mobina Jaffer,http://www.wikidata.org/entity/Q6887337,female,senjaffer,163981893,member of the Senate of Canada,Senate Liberal Caucus || Liberal Party of Canada,Senate Liberal Caucus
CA,Murray Sinclair,http://www.wikidata.org/entity/Q6939457,male,sensincmurr,16621410,member of the Senate of Canada,Independent Senators Group,
CA,Raynell Andreychuk,http://www.wikidata.org/entity/Q7299317,female,senandreychuk,902575098,member of the Senate of Canada,Progressive Conservative Party of Canada || Conservative Party of Canada,
CA,Salma Ataullahjan,http://www.wikidata.org/entity/Q7405355,female,senatorsalma,498059173,member of the Senate of Canada,Conservative Party of Canada,Conservative Party of Canada
CA,Thanh Hai Ngo,http://www.wikidata.org/entity/Q7710334,male,senatorngo,780401389742809088,member of the Senate of Canada,Conservative Party of Canada,
CA,Tony Dean,http://www.wikidata.org/entity/Q7822211,male,tonydean_to,1454583764,member of the Senate of Canada,Independent Senators Group,
CA,Victor Oh,http://www.wikidata.org/entity/Q7926201,male,senatorvictoroh,791109855658569728,member of the Senate of Canada,Conservative Party of Canada,
CA,Yuen Pau Woo,http://www.wikidata.org/entity/Q8060296,male,yuenpauwoo,259561654,member of the Senate of Canada,Independent Senators Group,
CA,Kim Pate,http://www.wikidata.org/entity/Q17386522,female,kpateonthehill,119837685,member of the Senate of Canada,Independent Senators Group,
CA,Ratna Omidvar,http://www.wikidata.org/entity/Q23771366,female,ratnaomi,112475398,member of the Senate of Canada,Independent Senators Group,
CA,Peter Harder,http://www.wikidata.org/entity/Q25189394,male,senharder,767774260274298880,member of the Senate of Canada,,
