countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
ES,Concha Andreu,http://www.wikidata.org/entity/Q20014173,female,conchaandreu,277018118,Deputy of the Parliament of La Rioja,Spanish Socialist Workers' Party,
ES,Laura Borràs i Castanyer,http://www.wikidata.org/entity/Q16179626,female,lauraborras || mhp_lauraborras,19002571 || 1379732052732481537,Member of the Congress of Deputies,independent politician || Junts per Catalunya,Grupo Parlamentario Plural
ES,Albert Botran,http://www.wikidata.org/entity/Q21081299,male,albertbotran,2978274629,Member of the Congress of Deputies,Poble Lliure,Mixed Parliamentary Group
ES,Sofía Castañón,http://www.wikidata.org/entity/Q21293215,female,sofcastanon,3495603017,Member of the Congress of Deputies,Podemos || Unidas Podemos,Confederal Parliamentary Group of Unidas Podemos-In Comú Podem-Galicia in Común
ES,Mireia Vehí i Cantenys,http://www.wikidata.org/entity/Q22043292,female,mireia_veca,312297259,Member of the Congress of Deputies,Popular Unity Candidacy,Mixed Parliamentary Group
ES,María del Carmen Navarro Lacoba,http://www.wikidata.org/entity/Q27032053,female,cnlacoba,4172373034,Member of the Congress of Deputies,People's Party,Popular parliamentary group
ES,Teodoro García Egea,http://www.wikidata.org/entity/Q27756136,male,teogarciaegea,224074203,Member of the Congress of Deputies,People's Party,Popular parliamentary group
ES,María Tamara Raya Rodríguez,http://www.wikidata.org/entity/Q27758345,female,tamarayar,3082102098,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Jon Iñarritu García,http://www.wikidata.org/entity/Q28872724,male,joninarritu,402593346,Member of the Congress of Deputies,Amaiur || Aralar Party || Euskal Herria Bildu,Mixed Parliamentary Group
ES,Pilar Marcos Domínguez,http://www.wikidata.org/entity/Q41672846,female,pilarmarcosd,144981542,Member of the Congress of Deputies,People's Party,Popular parliamentary group
ES,Sara Giménez,http://www.wikidata.org/entity/Q52005725,female,saragimnez,479740555,Member of the Congress of Deputies,Ciudadanos,Parliamentary Group Citizens
ES,Norma Pujol i Farré,http://www.wikidata.org/entity/Q56808173,female,normapujol,109332337,Member of the Congress of Deputies,Republican Left of Catalonia,Republican Parliamentary Group
ES,Omar Anguita,http://www.wikidata.org/entity/Q62589840,male,anguitaomar,875222185,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Inés Granollers i Cunillera,http://www.wikidata.org/entity/Q63372854,female,inesgranollers,357586041,Member of the Congress of Deputies,Republican Left of Catalonia,Republican Parliamentary Group
ES,Manuel Mariscal Zabala,http://www.wikidata.org/entity/Q63442032,male,mariscalzabala,257669729,Member of the Congress of Deputies,Vox,VOX Parliamentary Group
ES,Marcos de Quinto Romero,http://www.wikidata.org/entity/Q63861537,male,marcosdequinto,183178222,Member of the Congress of Deputies,Ciudadanos,Parliamentary Group Citizens
ES,Ricardo Chamorro Delmo,http://www.wikidata.org/entity/Q64787957,male,rchamode,279233001,Member of the Congress of Deputies,Vox,VOX Parliamentary Group
ES,María de los Reyes Romero Vilches,http://www.wikidata.org/entity/Q65146324,female,rromerovilches,3074491774,Member of the Congress of Deputies,Vox,VOX Parliamentary Group
ES,Helena Caballero Gutiérrez,http://www.wikidata.org/entity/Q66663387,female,caballerohelena,2177035457,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,José Carlos Durán Peralta,http://www.wikidata.org/entity/Q66663409,male,jcduran_,222048521,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Cristina Alicia Esteban Calonje,http://www.wikidata.org/entity/Q66663410,female,crisestebanvox,1193908437362577408,Member of the Congress of Deputies,Vox,VOX Parliamentary Group
ES,Maribel García López,http://www.wikidata.org/entity/Q66663420,,belitagl,864392892,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Ariagona González Pérez,http://www.wikidata.org/entity/Q66663428,,ariagonagp,3221713971,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,María Guijarro Ceballos,http://www.wikidata.org/entity/Q66663429,female,maritxu30,270901461,Member of the Congress of Deputies,Socialist Party of the Basque Country – Basque Country Left,Socialist parliamentary group
ES,Elena Máñez Rodríguez,http://www.wikidata.org/entity/Q66663455,female,elenamanez,204882362,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Noemí Villagrasa Quero,http://www.wikidata.org/entity/Q66663521,female,nvillagrasa,146397973,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Mariona Illamola Dausà,http://www.wikidata.org/entity/Q70570081,female,marionaid,441732574,Member of the Congress of Deputies,,Grupo Parlamentario Plural
ES,Beatriz Álvarez Fanjul,http://www.wikidata.org/entity/Q81764989,female,bea_fanjul,320145391,Member of the Congress of Deputies,People's Party of the Basque Country,Popular parliamentary group
ES,Juan Luis Pedreño Molina,http://www.wikidata.org/entity/Q81765003,male,juan_pedreno,3208501132,Member of the Congress of Deputies,,Popular parliamentary group
ES,Ana Prieto,http://www.wikidata.org/entity/Q65275040,female,anaprietonieto,289844440,Member of the Congress of Deputies,Socialist Party of Galicia,Socialist parliamentary group
ES,José Ángel Alonso Pérez,http://www.wikidata.org/entity/Q106523293,male,jangelvillalon,386439973,Member of the Congress of Deputies,,Popular parliamentary group
ES,Julio Navalpotro Gómez,http://www.wikidata.org/entity/Q115983273,male,navalpotrojulio,409108065,Member of the Congress of Deputies,Spanish Socialist Workers' Party,
ES,Alejandro Soler Mur,http://www.wikidata.org/entity/Q2893371,male,alejandrosolerm,251096605,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Odón Elorza González,http://www.wikidata.org/entity/Q4892191,male,odonelorza2011,284488502,Member of the Congress of Deputies,Spanish Socialist Workers' Party || Socialist Party of the Basque Country – Basque Country Left,Socialist parliamentary group
ES,Juan José Aizcorbe Torra,http://www.wikidata.org/entity/Q5950140,male,juanjoaizcorbe,2832034762,Member of the Congress of Deputies,People's Party || Juntas Españolas || Spanish Democratic Party || Vox,VOX Parliamentary Group
ES,Lourdes Méndez Monasterio,http://www.wikidata.org/entity/Q5981562,female,lourdesmndezm1,1108432169054208001,Member of the Congress of Deputies,Vox,VOX Parliamentary Group
ES,Valentín García Gómez,http://www.wikidata.org/entity/Q6158878,male,valentingarciag,353808961,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,Ana Oramas,http://www.wikidata.org/entity/Q8198110,female,anioramas,479394745,Member of the Congress of Deputies,Canarian Coalition,Grupo Parlamentario Plural
ES,Teresa Jiménez-Becerril,http://www.wikidata.org/entity/Q9357304,female,teresajbecerril,1106640378193678339,Member of the Congress of Deputies,People's Party,Popular parliamentary group
ES,Jaime de Olano,http://www.wikidata.org/entity/Q12390812,male,jaimedeolano,1637483929,Member of the Congress of Deputies,People's Party,Popular parliamentary group
ES,Néstor Rego,http://www.wikidata.org/entity/Q12394038,male,nestorrego,435720619,Member of the Congress of Deputies,Galician Nationalist Bloc || Galician People's Union,Grupo Parlamentario Plural
ES,José María Espejo-Saavedra Conesa,http://www.wikidata.org/entity/Q13859913,male,jmespejosaav,405430824,Member of the Congress of Deputies,Ciudadanos,Parliamentary Group Citizens
ES,Adriana Lastra,http://www.wikidata.org/entity/Q17620225,female,adrilastra,200194757,Member of the Congress of Deputies,Spanish Socialist Workers' Party,Socialist parliamentary group
ES,José Zaragoza Alonso,http://www.wikidata.org/entity/Q19828092,male,j_zaragoza_,715890348569010176,Member of the Congress of Deputies,Socialists' Party of Catalonia,Socialist parliamentary group
