countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
ES,Pilar Llop,http://www.wikidata.org/entity/Q55496545,female,pilar_llop,1206536558351994882,President of the Spanish Senate || member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Francisco de la Torre Prados,http://www.wikidata.org/entity/Q255442,male,pacodelatorrep,212170817,member of the Senate of Spain,Union of the Democratic Centre || People's Party,
ES,Javier Arenas Bocanegra,http://www.wikidata.org/entity/Q2089386,male,pp_javierarenas,4047307155,member of the Senate of Spain,People's Party,
ES,Cristina Narbona,http://www.wikidata.org/entity/Q2984396,female,cristinanarbona,447260411,member of the Senate of Spain,Spanish Socialist Workers' Party,Q30765619
ES,Rafael Simancas,http://www.wikidata.org/entity/Q3417279,male,simancasrafael,402219133,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Antonio Sanz,http://www.wikidata.org/entity/Q4776970,male,antoniosanz,21189779,member of the Senate of Spain,People's Party,
ES,Jokin Bildarratz Sorron,http://www.wikidata.org/entity/Q4891321,male,bildarratz,235142475,member of the Senate of Spain,Basque Nationalist Party,
ES,Francisco José Alcaraz,http://www.wikidata.org/entity/Q5866375,male,fjosealcaraz,266066285,member of the Senate of Spain,Vox,
ES,Ignacio Cosidó,http://www.wikidata.org/entity/Q5913172,male,ignacos,83936918,member of the Senate of Spain,People's Party,
ES,José Cepeda,http://www.wikidata.org/entity/Q5938944,male,cepeda,7064212,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Manuel Cruz,http://www.wikidata.org/entity/Q5992712,male,manuelcruzr_,1102891902108618753,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Pedro Saura,http://www.wikidata.org/entity/Q6070133,male,pedrosaurag,538336743,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Antonio Gutiérrez Limones,http://www.wikidata.org/entity/Q8201260,male,limonesag,1089488659,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Francisco Javier de Lucas Martín,http://www.wikidata.org/entity/Q8962443,male,xdelucas,540143028,member of the Senate of Spain,Spanish Socialist Workers' Party,Spanish Socialist Workers' Party
ES,Imanol Landa,http://www.wikidata.org/entity/Q9008073,male,imanollanda,89659883,member of the Senate of Spain,Basque Nationalist Party,
ES,Joseba Azkarraga,http://www.wikidata.org/entity/Q9012997,male,josebaazkarraga,1615986402,member of the Senate of Spain,Eusko Alkartasuna || Basque Nationalist Party,
ES,Pilar González,http://www.wikidata.org/entity/Q9059628,female,pilaresdiferent,255666243,member of the Senate of Spain,Adelante Andalucía || Andalusian Spring || Andalusian Party,
ES,Francisco Jorquera,http://www.wikidata.org/entity/Q11055661,male,jorqueracaselas,305449141,member of the Senate of Spain,Galician Nationalist Bloc,
ES,José Manuel Barreiro,http://www.wikidata.org/entity/Q11705405,male,barreirojmanuel,4331425708,member of the Senate of Spain,People's Party,
ES,Antoni Poveda Zapata,http://www.wikidata.org/entity/Q14042691,male,antonipovedasjd,3043196495,member of the Senate of Spain,Unified Socialist Party of Catalonia || Socialists' Party of Catalonia,
ES,Josep Maria Cervera Pinart,http://www.wikidata.org/entity/Q14075822,male,josepmcervera,25165268,member of the Senate of Spain,Junts per Catalunya || Catalan European Democratic Party || Democratic Convergence of Catalonia,Q39076406
ES,Josep Lluís Cleries i Gonzàlez,http://www.wikidata.org/entity/Q16188807,male,jlcleries,57297008,member of the Senate of Spain,Junts per Catalunya || Catalan European Democratic Party || Democratic Convergence of Catalonia,
ES,Cosme Bonet Bonet,http://www.wikidata.org/entity/Q17028914,male,cosmebonet,117379607,member of the Senate of Spain,Spanish Socialist Workers' Party,Q30765619
ES,Marta Pascal i Capdevila,http://www.wikidata.org/entity/Q17033177,female,martapascal,112508872,member of the Senate of Spain,Partit Nacionalista de Catalunya || Catalan European Democratic Party || Democratic Convergence of Catalonia,
ES,Susana Sumelzo Jordán,http://www.wikidata.org/entity/Q17563522,female,ssumelzo,520609496,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Joaquín Luis Ramírez Rodríguez,http://www.wikidata.org/entity/Q17635360,male,joaquinramirez,138913188,member of the Senate of Spain,People's Party,
ES,Ramon Antoni Socias Puig,http://www.wikidata.org/entity/Q19289058,male,ramonsocias,2805487358,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Sara Vilà Galan,http://www.wikidata.org/entity/Q19301856,female,saravilag,198978368,member of the Senate of Spain,Catalunya en Comú || Initiative for Catalonia Greens,
ES,Alberto Casero Ávila,http://www.wikidata.org/entity/Q19688958,male,albertocasero,250702520,member of the Senate of Spain,People's Party,
ES,Ramón Espinar Merino,http://www.wikidata.org/entity/Q20671645,male,ramonespinar,394266186,member of the Senate of Spain,Podemos,
ES,Lorena Roldán,http://www.wikidata.org/entity/Q20725437,female,lroldansu,3127325711,member of the Senate of Spain,Ciudadanos || People's Party,
ES,Vicenç Vidal Matas,http://www.wikidata.org/entity/Q20850401,male,vidalmatas14,3345309089,member of the Senate of Spain,,
ES,Emilio Argüeso Torres,http://www.wikidata.org/entity/Q21001090,male,emilio_argueso,271093400,member of the Senate of Spain,Socialist Party of the Valencian Country || People's Alliance || Ciudadanos || People's Party,
ES,Josep Sala Torres,http://www.wikidata.org/entity/Q21001456,male,pepesala_,2984403447,member of the Senate of Spain,,
ES,Carles Mulet Garcia,http://www.wikidata.org/entity/Q21074910,male,carlesmulet,250031399,member of the Senate of Spain,Valencian People's Initiative || United Left of the Valencian Country,
ES,Laura Berja,http://www.wikidata.org/entity/Q21089383,female,lauraberja86,269472408,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Óscar Guardingo Martínez,http://www.wikidata.org/entity/Q22337904,male,oguardingo,211387334,member of the Senate of Spain,Podemos || United and Alternative Left,En Comú Podem
ES,Ana María Surra Spadea,http://www.wikidata.org/entity/Q22337939,female,anasurra,181749304,member of the Senate of Spain,Republican Left of Catalonia,
ES,Jordi Souto Andrés,http://www.wikidata.org/entity/Q22337937,male,jordisouto,428090529,member of the Senate of Spain,,
ES,José Julián Gregorio López,http://www.wikidata.org/entity/Q23413342,male,jjulianjotable,278230295,member of the Senate of Spain,People's Party,People's Party
ES,Obdulia Taboadela,http://www.wikidata.org/entity/Q25509393,female,otaboadela,1116959934367916032,member of the Senate of Spain,,
ES,Miguel Ángel Viso Diéguez,http://www.wikidata.org/entity/Q25509632,male,miguel_viso,4349709262,member of the Senate of Spain,People's Party,
ES,Laura Castel i Fort,http://www.wikidata.org/entity/Q26159887,female,lauracastelfort,470507637,member of the Senate of Spain,Republican Left of Catalonia,
ES,Xavier Castellana i Gamisans,http://www.wikidata.org/entity/Q26234874,male,xavier_cat,235714269,member of the Senate of Spain,Republican Left of Catalonia,
ES,María del Carmen Hernández Bento,http://www.wikidata.org/entity/Q27755653,female,hernandezbento,4203496689,member of the Senate of Spain,People's Party,
ES,Juan María Vázquez Rojas,http://www.wikidata.org/entity/Q27756162,male,jmvrum,66700781,member of the Senate of Spain,People's Party,
ES,José Ortiz Galván,http://www.wikidata.org/entity/Q27999151,male,vejer_ortiz,724965496391634944,member of the Senate of Spain,Andalusian People's Party,
ES,Robert Masih Nahar,http://www.wikidata.org/entity/Q28729078,male,rmnahar,2517136509,member of the Senate of Spain,Republican Left of Catalonia,
ES,Idoia Villanueva Ruiz,http://www.wikidata.org/entity/Q28802997,female,idoiavr,610146315,member of the Senate of Spain,Podemos,
ES,Juan Luis Soto Burillo,http://www.wikidata.org/entity/Q28840750,male,juanluissotoadd,1916660826,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Riansares Serrano Morales,http://www.wikidata.org/entity/Q28872621,female,riansares92,1930293110,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Andrés Gil García,http://www.wikidata.org/entity/Q28872654,male,ander_gil,18806761,member of the Senate of Spain,Spanish Socialist Workers' Party,
ES,Josep Maria Matamala,http://www.wikidata.org/entity/Q51026174,male,jami_matamala,1107913989718200321,member of the Senate of Spain,Junts per Catalunya || Catalan European Democratic Party || Democratic Convergence of Catalonia,
ES,Adelina Escandell Grases,http://www.wikidata.org/entity/Q63118397,female,adelinaescande,979974314,member of the Senate of Spain,Communists of Catalonia || Party of the Communists of Catalonia || United and Alternative Left,
ES,Èlia Tortolero Orejuela,http://www.wikidata.org/entity/Q63345824,female,eliatortolero,2807863400,member of the Senate of Spain,,
ES,Manel de la Vega Carrera,http://www.wikidata.org/entity/Q77031427,male,maneldelavega,704703336,member of the Senate of Spain,,
ES,Assumpció Castellví Auví,http://www.wikidata.org/entity/Q97487972,female,assumpcas,363568931,member of the Senate of Spain,Junts per Catalunya || Catalan European Democratic Party || Democratic Convergence of Catalonia,
