countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
FR,Joël Aviragnet,http://www.wikidata.org/entity/Q17350680,male,javiragnet,2712326416,member of the French National Assembly,Socialist Party,"Socialist, Radical, Citizen and Miscellaneous Left"
FR,Maina Sage,http://www.wikidata.org/entity/Q17350905,female,mainasage,2851523481,member of the French National Assembly,Tapura Huiraatira,UDI and Independents group
FR,Mounir Mahjoubi,http://www.wikidata.org/entity/Q28105164,male,mounir,80528373,member of the French National Assembly,Socialist Party || La République En Marche,Renaissance group
FR,Éric Bothorel,http://www.wikidata.org/entity/Q29791418,male,ebothorel,162094209,member of the French National Assembly,Socialist Party,Renaissance group
FR,Olga Givernet,http://www.wikidata.org/entity/Q30334006,female,olgagivernet,4055897896,member of the French National Assembly,La République En Marche,Renaissance group
FR,Philippe Chalumeau,http://www.wikidata.org/entity/Q30334130,male,chalumeau_p,739098870844690432,member of the French National Assembly,La République En Marche,Renaissance group
FR,Anne-Laurence Petel,http://www.wikidata.org/entity/Q30334715,female,al_petel,1415195768,member of the French National Assembly,La République En Marche,Renaissance group
FR,Cécile Muschotti,http://www.wikidata.org/entity/Q30335328,female,cmuschotti,607447732,member of the French National Assembly,French Communist Party,Renaissance group
FR,Daniel Labaronne,http://www.wikidata.org/entity/Q30335887,male,labaronnedaniel,3063365597,member of the French National Assembly,La République En Marche,Renaissance group
FR,Raphaël Schellenberger,http://www.wikidata.org/entity/Q30336912,male,rscactu,111266206,member of the French National Assembly,Union for a Popular Movement || The Republicans,The Republicans group
FR,Typhanie Degois,http://www.wikidata.org/entity/Q30337897,female,typhanie_degois,866978105189171201,member of the French National Assembly,La République En Marche,Renaissance group
FR,Blandine Brocard,http://www.wikidata.org/entity/Q30337966,female,bbrocard,156032740,member of the French National Assembly,Democratic Movement,Renaissance group
FR,Cédric Roussel,http://www.wikidata.org/entity/Q30339209,male,cedricroussel06,865558964976603139,member of the French National Assembly,La République En Marche,Renaissance group
FR,Bénédicte Taurine,http://www.wikidata.org/entity/Q30339248,female,benedicttaurine,870283676898271232,member of the French National Assembly,French Communist Party || La France insoumise,La France Insoumise group
FR,Géraldine Bannier,http://www.wikidata.org/entity/Q30339354,female,bannier_g,866695760905154560,member of the French National Assembly,Democratic Movement,Democratic Movement and democrats affiliated group
FR,Élisabeth Toutut-Picard,http://www.wikidata.org/entity/Q30342359,female,etoututpicard,826017036451061761,member of the French National Assembly,La République En Marche,Renaissance group
FR,Michel Castellani,http://www.wikidata.org/entity/Q30342903,male,castellani_,529798328,member of the French National Assembly,Pè a Corsica,Libertés and Territories Group
FR,Xavier Batut,http://www.wikidata.org/entity/Q30348761,male,xavierbatut,862754226589577216,member of the French National Assembly,La République En Marche,Renaissance group
FR,Nadia Essayan,http://www.wikidata.org/entity/Q30349130,female,nadiaessayan,531618516,member of the French National Assembly,Democratic Movement,Democratic Movement and democrats affiliated group
FR,Valéria Faure-Muntian,http://www.wikidata.org/entity/Q30349248,female,v_faure_muntian,863389083099426816,member of the French National Assembly,La République En Marche,Renaissance group
FR,Elsa Faucillon,http://www.wikidata.org/entity/Q30349257,female,elsafaucillon,789381772190416896,member of the French National Assembly,French Communist Party,Democratic and Republican Left
FR,Caroline Fiat,http://www.wikidata.org/entity/Q30349279,female,carolinefiat54,832246158391144448,member of the French National Assembly,Ensemble! || La France insoumise,La France Insoumise group
FR,Isabelle Florennes,http://www.wikidata.org/entity/Q30349307,female,iflorennes92,864856599021727744,member of the French National Assembly,Democratic Movement,Democratic Movement and democrats affiliated group
FR,Éric Girardin,http://www.wikidata.org/entity/Q30349369,male,girardineric,1446653228,member of the French National Assembly,La République En Marche,Renaissance group
FR,Guy Bricout,http://www.wikidata.org/entity/Q30349651,male,guybricout,1524389721094381569,member of the French National Assembly,Union of Democrats and Independents,UDI and Independents group
FR,Aina Kuric,http://www.wikidata.org/entity/Q30349775,female,ainakuric,4070381506,member of the French National Assembly,La République En Marche,Renaissance group
FR,Philippe Latombe,http://www.wikidata.org/entity/Q30349937,male,platombe,560299831,member of the French National Assembly,Democratic Movement || La République En Marche,Democratic Movement and democrats affiliated group
FR,Aude Luquet,http://www.wikidata.org/entity/Q30376630,female,audeluquet2017,864772781858279424,member of the French National Assembly,Democratic Movement,Democratic Movement and democrats affiliated group
FR,Jean-Baptiste Moreau,http://www.wikidata.org/entity/Q30379650,male,moreaujb23,615337066,member of the French National Assembly,La République En Marche,Renaissance group
FR,Sira Sylla,http://www.wikidata.org/entity/Q30390791,female,sirasylla76,864531980033110018,member of the French National Assembly,La République En Marche,Renaissance group
FR,Buon Tan,http://www.wikidata.org/entity/Q30391048,male,buontan,2495899075,member of the French National Assembly,La République En Marche,Renaissance group
FR,Josiane Corneloup,http://www.wikidata.org/entity/Q30392574,female,j_corneloup,983695865612251136,member of the French National Assembly,The Republicans,The Republicans group
FR,Jean-René Cazeneuve,http://www.wikidata.org/entity/Q30417849,male,jrcazeneuve,541023150,member of the French National Assembly,La République En Marche,Renaissance group
FR,Paul Christophe,http://www.wikidata.org/entity/Q30433890,male,christophe_p,616609800,member of the French National Assembly,The Republicans,UDI and Independents group
FR,Alain David,http://www.wikidata.org/entity/Q30447134,male,alaindavid_an,861853257559420928,member of the French National Assembly,Socialist Party,"Socialist, Radical, Citizen and Miscellaneous Left"
FR,Dominique David,http://www.wikidata.org/entity/Q30448094,female,dominiquedavid_,864165870213500928,member of the French National Assembly,La République En Marche,Renaissance group
FR,Jean-Carles Grelier,http://www.wikidata.org/entity/Q30503939,male,jcgrelier,905713485329391616,member of the French National Assembly,The Republicans || Libres,The Republicans group
FR,Pierre Vatin,http://www.wikidata.org/entity/Q30506341,male,pierrevatinoff,1227623274185662464,member of the French National Assembly,The Republicans,The Republicans group
FR,Benoit Simian,http://www.wikidata.org/entity/Q30517132,male,benoitsimian,610649874,member of the French National Assembly,Socialist Party,Renaissance group
FR,Emilie Chalas,http://www.wikidata.org/entity/Q30519525,female,emiliecchalas,1436327000,member of the French National Assembly,La République En Marche,Renaissance group
FR,Christophe Naegelen,http://www.wikidata.org/entity/Q30530164,male,c_naegelen,891005764097191938,member of the French National Assembly,independent politician,UDI and Independents group
FR,Éric Poulliat,http://www.wikidata.org/entity/Q30530581,male,epoulliat,178485109,member of the French National Assembly,Socialist Party,Renaissance group
FR,Sylvain Brial,http://www.wikidata.org/entity/Q54413736,male,sylvainbrial,1017365125546823681,member of the French National Assembly,independent politician,Libertés and Territories Group
FR,Philippe Benassaya,http://www.wikidata.org/entity/Q62077701,male,philipbenassaya,1612404397,member of the French National Assembly,,The Republicans group
FR,Nathalie Serre,http://www.wikidata.org/entity/Q96463563,female,nathalieserre,1286307042014171137,member of the French National Assembly,,The Republicans group
FR,Luc Geismar,http://www.wikidata.org/entity/Q97704796,male,geismarluc,865700310131630080,member of the French National Assembly,Democratic Movement,Democratic Movement and democrats affiliated group
FR,Sylvain Templier,http://www.wikidata.org/entity/Q97704924,male,sylv1templier,749231728452104192,member of the French National Assembly,,Renaissance group
FR,Gérard Leseul,http://www.wikidata.org/entity/Q99627615,male,leseulg,369978611,member of the French National Assembly,Socialist Party,
FR,Philippe Naillet,http://www.wikidata.org/entity/Q22683833,male,pnaillet,1283323346076282880,member of the French National Assembly,Socialist Party,
FR,Bernard Perrut,http://www.wikidata.org/entity/Q12931,male,b_perrut,556754160,member of the French National Assembly,Union for a Popular Movement || Liberal Democracy,The Republicans group
FR,Cédric Villani,http://www.wikidata.org/entity/Q334065,male,villanicedric,861942866989469697,member of the French National Assembly,La République En Marche || Ecology Democracy Solidarity,Renaissance group
FR,Jean-Luc Warsmann,http://www.wikidata.org/entity/Q509407,male,warsmann,94168587,member of the French National Assembly,Union for a Popular Movement || Rally for the Republic,UDI and Independents group
FR,Charles de la Verpillière,http://www.wikidata.org/entity/Q1534217,male,delaverpilliere,115003417,member of the French National Assembly,Union for a Popular Movement,The Republicans group
FR,Christophe Bouillon,http://www.wikidata.org/entity/Q2966121,male,chris_bouillon,295304575,member of the French National Assembly,Socialist Party,"Socialist, Radical, Citizen and Miscellaneous Left"
FR,David Habib,http://www.wikidata.org/entity/Q3018028,male,daviddhabib || davidhabiban,4714098677 || 2315203453,member of the French National Assembly,Socialist Party,"Socialist, Radical, Citizen and Miscellaneous Left"
FR,Francis Vercamer,http://www.wikidata.org/entity/Q3081737,male,fvercamer,1374214321,member of the French National Assembly,Union of Democrats and Independents || Les Centristes,UDI and Independents group
