countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
FR,Mikaele Kulimoetoke,http://www.wikidata.org/entity/Q20029497,male,mikakulimoetoke,2434931316,Senator of Wallis and Futuna,,
FR,Daniel Dubois,http://www.wikidata.org/entity/Q113957,male,danieldubois80,2801956383,Senator of the French Fifth Republic,Union for French Democracy,Group Centrist Union
FR,Michel Delebarre,http://www.wikidata.org/entity/Q129774,male,micheldelebarre,310277581,Senator of the French Fifth Republic,Socialist Party,
FR,Dominique Voynet,http://www.wikidata.org/entity/Q268669,female,dominiquevoynet,143918103,Senator of the French Fifth Republic,The Greens,
FR,Philippe Dallier,http://www.wikidata.org/entity/Q283553,male,philippedallier,391897991,Senator of the French Fifth Republic,The Republicans || Union for a Popular Movement,The Republicans group || Q3117589
FR,François Rebsamen,http://www.wikidata.org/entity/Q383499,male,frebsamen,72276456,Senator of the French Fifth Republic,Revolutionary Communist League || Socialist Party,
FR,Michel Magras,http://www.wikidata.org/entity/Q385483,male,michelmagras,738028645386702848,Senator of the French Fifth Republic,Union for a Popular Movement,
FR,Alain Milon,http://www.wikidata.org/entity/Q388399,male,senateurmilon,1565113112,Senator of the French Fifth Republic,Union for a Popular Movement,
FR,Claude Malhuret,http://www.wikidata.org/entity/Q389141,male,claudemalhuret,2317343119,Senator of the French Fifth Republic,Agir || Republican Party || Union for French Democracy || Union for a Popular Movement,
FR,Michel Barnier,http://www.wikidata.org/entity/Q438465,male,michelbarnier,17487476,Senator of the French Fifth Republic,The Republicans || Rally for the Republic || Union for a Popular Movement,
FR,Pascale Gruny,http://www.wikidata.org/entity/Q439732,female,pascalegruny02,4061138793,Senator of the French Fifth Republic,Union for a Popular Movement,
FR,Fabienne Keller,http://www.wikidata.org/entity/Q440151,female,fabienne_keller,83120914,Senator of the French Fifth Republic,Union for French Democracy || Union for a Popular Movement,
FR,Marie-Noëlle Lienemann,http://www.wikidata.org/entity/Q461454,female,mnlienemann,46522376,Senator of the French Fifth Republic,Gauche républicaine et socialiste || Socialist Party,Q53516488 || Socialist Group in the Senate of France
FR,Roland Ries,http://www.wikidata.org/entity/Q469010,male,roland_ries,281438650,Senator of the French Fifth Republic,Unified Socialist Party || Socialist Party,
