countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
TR,Ramazan Can,http://www.wikidata.org/entity/Q19612311,male,ramazancan0071,3232864769,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Öznur Çalık,http://www.wikidata.org/entity/Q19613520,female,oznurcalik,229637054,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Rıdvan Turan,http://www.wikidata.org/entity/Q20195187,male,drridvanturan,320683311,Member of the Grand National Assembly of Turkey,Peoples' Democratic Party,Peoples' Democratic Party
TR,Mithat Sancar,http://www.wikidata.org/entity/Q20472571,male,mithatsancarr,367377070,Member of the Grand National Assembly of Turkey,Peoples' Democratic Party,Peoples' Democratic Party
TR,Haydar Akar,http://www.wikidata.org/entity/Q20474732,male,haydarakar,287169431,Member of the Grand National Assembly of Turkey,,Republican People's Party
TR,Alican Önlü,http://www.wikidata.org/entity/Q20476291,male,alican_onlu,3169650988,Member of the Grand National Assembly of Turkey,,Peoples' Democratic Party
TR,Mustafa Şentop,http://www.wikidata.org/entity/Q21044620,male,mustafasentop,226219067,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Uğur Bayraktutan,http://www.wikidata.org/entity/Q21527259,male,ugurbayraktutan,443677181,Member of the Grand National Assembly of Turkey,,Republican People's Party
TR,Feridun Bahşi,http://www.wikidata.org/entity/Q21528418,male,feridun_bahsi,300237904,Member of the Grand National Assembly of Turkey,Nationalist Movement Party,İYİ Party
TR,Ali Şeker,http://www.wikidata.org/entity/Q23920840,male,draliseker,214856284,Member of the Grand National Assembly of Turkey,Republican People's Party,Republican People's Party
TR,Nevzat Ceylan,http://www.wikidata.org/entity/Q31188562,male,nevzatceylan06,3162762015,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Metin Gündoğdu,http://www.wikidata.org/entity/Q31188742,male,metingunordu,870374882,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Hayrettin Nuhoğlu,http://www.wikidata.org/entity/Q31189448,male,h_nuhoglu,1584411072,Member of the Grand National Assembly of Turkey,,İYİ Party
TR,Lütfü Türkkan,http://www.wikidata.org/entity/Q61073783,male,lutfuturkkan,176329831,Member of the Grand National Assembly of Turkey,,İYİ Party
TR,Gamze Akkuş İlgezdi,http://www.wikidata.org/entity/Q61075844,female,gamzeilgezdi,4134508697,Member of the Grand National Assembly of Turkey,,Republican People's Party
TR,Leyla Shahin Usta,http://www.wikidata.org/entity/Q61075926,female,leylasahinusta,3025338878,Member of the Grand National Assembly of Turkey,Justice and Development Party,Justice and Development Party
TR,Dursun Ataş,http://www.wikidata.org/entity/Q61077373,male,dursunatas38,564689563,Member of the Grand National Assembly of Turkey,Nationalist Movement Party,İYİ Party
TR,Bedri Yaşar,http://www.wikidata.org/entity/Q61077409,male,bedriyasartr,962771607902179328,Member of the Grand National Assembly of Turkey,Nationalist Movement Party,İYİ Party
TR,Yaşar Yıldırım,http://www.wikidata.org/entity/Q61077707,male,yasaryldrmmhp,3165093951,Member of the Grand National Assembly of Turkey,,Nationalist Movement Party
TR,Serap Yaşar,http://www.wikidata.org/entity/Q65499586,female,serapyahsiyasar,285700060,Member of the Grand National Assembly of Turkey,,Justice and Development Party
TR,Zeynep Yıldız,http://www.wikidata.org/entity/Q65499840,female,zyildiz_,2906863019,Member of the Grand National Assembly of Turkey,,Justice and Development Party
