countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
UK,Chris Philp,http://www.wikidata.org/entity/Q16972528,male,cphilpofficial,89307992,Member of the 58th Parliament of the United Kingdom,Conservative Party,Conservative Party
UK,Kirsten Oswald,http://www.wikidata.org/entity/Q19874839,female,kirstenoswald,2707851346,Member of the 58th Parliament of the United Kingdom,Scottish National Party,Scottish National Party
UK,Alison Thewliss,http://www.wikidata.org/entity/Q19882771,female,alisonthewliss,116459535,Member of the 58th Parliament of the United Kingdom,Scottish National Party,Scottish National Party
UK,Naz Shah,http://www.wikidata.org/entity/Q19882845,female,nazshahbfd,355623405,Member of the 58th Parliament of the United Kingdom,Labour Party,Labour Party
UK,Ronnie Cowan,http://www.wikidata.org/entity/Q19883025,male,ronniecowan,132490359,Member of the 58th Parliament of the United Kingdom,Scottish National Party,Scottish National Party
UK,Patricia Gibson,http://www.wikidata.org/entity/Q19883132,female,pgibsonsnp,3030111953,Member of the 58th Parliament of the United Kingdom,Scottish National Party,Scottish National Party
UK,Wendy Morton,http://www.wikidata.org/entity/Q19917814,female,morton_wendy,813678139,Member of the 58th Parliament of the United Kingdom,Conservative Party,Conservative Party
UK,Chris Green,http://www.wikidata.org/entity/Q19957945,male,cgreenuk,1305528373,Member of the 58th Parliament of the United Kingdom,Conservative Party,Conservative Party
UK,Luke Hall,http://www.wikidata.org/entity/Q19957996,male,lukehall,4490851456,Member of the 58th Parliament of the United Kingdom,Conservative Party,Conservative Party
UK,Daniel Zeichner,http://www.wikidata.org/entity/Q20128211,male,danielzeichner,454933267,Member of the 58th Parliament of the United Kingdom,Labour Party,Labour Party
UK,Damien Moore,http://www.wikidata.org/entity/Q30163703,male,moore4southport,2902135256,Member of the 58th Parliament of the United Kingdom,Conservative Party,Conservative Party
UK,Anna McMorrin,http://www.wikidata.org/entity/Q30164279,female,annamcmorrin,14590758,Member of the 58th Parliament of the United Kingdom,Welsh Labour,Labour Party
UK,Wera Hobhouse,http://www.wikidata.org/entity/Q30164280,female,wera_hobhouse,19915728,Member of the 58th Parliament of the United Kingdom,Liberal Democrats,Liberal Democrats
