countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState
UK,"Delyth Morgan, Baroness Morgan of Drefelin",http://www.wikidata.org/entity/Q93806,female,delythjmorgan,253167220,Member of the House of Lords,Labour Party,crossbencher
UK,"Prince Andrew, Duke of York",http://www.wikidata.org/entity/Q153330,male,thedukeofyork,1568105364,Member of the House of Lords,,
UK,"Angela Smith, Baroness Smith of Basildon",http://www.wikidata.org/entity/Q168606,female,ladybasildon,334683142,Member of the House of Lords,Labour Co-operative || Labour Party,Labour Party
UK,Sebastian Coe,http://www.wikidata.org/entity/Q188502,male,sebcoe,20768539,Member of the House of Lords,Conservative Party,Conservative Party
UK,"Patricia Scotland, Baroness Scotland of Asthal",http://www.wikidata.org/entity/Q194713,female,pscotlandcsg,343364405,Member of the House of Lords,Labour Party,
UK,Gavin Barwell,http://www.wikidata.org/entity/Q260651,male,backbarwell,3107104589,Member of the House of Lords,Conservative Party,Conservative Party
UK,Nicola Blackwood,http://www.wikidata.org/entity/Q263969,female,nicolablackwood,60585651,Member of the House of Lords,Conservative Party,Conservative Party
UK,James Wharton,http://www.wikidata.org/entity/Q264337,male,jameswhartonuk,160856730,Member of the House of Lords,Conservative Party,
UK,Ed Vaizey,http://www.wikidata.org/entity/Q267485,male,edvaizey,18096679,Member of the House of Lords,Conservative Party,
UK,Lorely Burt,http://www.wikidata.org/entity/Q270042,female,lorelyburt,595553662,Member of the House of Lords,Liberal Democrats,Liberal Democrats
UK,Katy Clark,http://www.wikidata.org/entity/Q271828,female,katysclark,625484747,Member of the House of Lords,Labour Party,
UK,Andrew Tyrie,http://www.wikidata.org/entity/Q272008,male,chichesterca,1371972630,Member of the House of Lords,Conservative Party,Non-affiliated members of the House of Lords
UK,Nigel Dodds,http://www.wikidata.org/entity/Q300243,male,nigeldoddsdup,104845115,Member of the House of Lords,Democratic Unionist Party,
UK,Lynne Featherstone,http://www.wikidata.org/entity/Q304302,female,lfeatherstone,14197060,Member of the House of Lords,Liberal Democrats,Liberal Democrats
UK,Frank Field,http://www.wikidata.org/entity/Q304388,male,frankfieldteam,20688804,Member of the House of Lords,Labour Party,
UK,Gisela Stuart,http://www.wikidata.org/entity/Q328682,female,giselastuart,26584956,Member of the House of Lords,Labour Party,
UK,John Prescott,http://www.wikidata.org/entity/Q332393,male,johnprescott,19335378,Member of the House of Lords,Labour Party,Labour Party
UK,Philip Hammond,http://www.wikidata.org/entity/Q332987,male,philiphammonduk,2653613168,Member of the House of Lords,Conservative Party,
UK,Patrick McLoughlin,http://www.wikidata.org/entity/Q333267,male,patrick4dales,3144626321,Member of the House of Lords,Conservative Party,
UK,Andrew Lansley,http://www.wikidata.org/entity/Q333276,male,andrewdlansley,2786236928,Member of the House of Lords,Conservative Party,Conservative Party
UK,Eric Pickles,http://www.wikidata.org/entity/Q333493,male,ericpickles,58836363,Member of the House of Lords,Conservative Party,Conservative Party
UK,Dafydd Wigley,http://www.wikidata.org/entity/Q333600,male,dafydd_wigley,1965380101,Member of the House of Lords,Plaid Cymru,Plaid Cymru
UK,Dafydd Elis-Thomas,http://www.wikidata.org/entity/Q333841,male,elisthomasd,357381026,Member of the House of Lords,Plaid Cymru,Non-affiliated members of the House of Lords
UK,Emma Nicholson,http://www.wikidata.org/entity/Q334097,female,baroness_nichol,4835347079,Member of the House of Lords,Conservative Party || Liberal Democrats,Conservative Party
UK,Edward Garnier,http://www.wikidata.org/entity/Q334339,male,edwardgarnier,2370680635,Member of the House of Lords,Conservative Party,Conservative Party
UK,Jim Knight,http://www.wikidata.org/entity/Q334359,male,lordjimknight,21528045,Member of the House of Lords,Labour Party,Labour Party
UK,N. T. Wright,http://www.wikidata.org/entity/Q335125,male,profntwright,814386200,Member of the House of Lords,,
UK,Robert Skidelsky,http://www.wikidata.org/entity/Q335331,male,rskidelsky,817643168,Member of the House of Lords,Labour Party,crossbencher
