countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Denver Riggleman,http://www.wikidata.org/entity/Q28086149,male,repriggleman,1080504024695222273,Member of the United States House of Representatives from Virginia || United States representative,Republican Party,Republican Party,Virginia's 5th congressional district
US,Elaine Luria,http://www.wikidata.org/entity/Q58323073,female,elaineluriava,950111395378597888,Member of the United States House of Representatives from Virginia || United States representative,Democratic Party,Democratic Party,Virginia's 2nd congressional district
US,John Lewis,http://www.wikidata.org/entity/Q45380,male,repjohnlewis,29450962,United States representative,Democratic Party,Democratic Party,Georgia's 5th congressional district
US,Nancy Pelosi,http://www.wikidata.org/entity/Q170581,female,teampelosi || speakerpelosi,2461810448 || 15764644,United States representative,Democratic Party,Democratic Party,California's 12th congressional district
US,Jackie Speier,http://www.wikidata.org/entity/Q218544,female,repspeier,24913074,United States representative,Democratic Party,Democratic Party,California's 14th congressional district
US,Barbara Lee,http://www.wikidata.org/entity/Q289317,female,repbarbaralee,248735463,United States representative,Democratic Party,Democratic Party,California's 13th congressional district
US,John Carter,http://www.wikidata.org/entity/Q369814,male,judgecarter,18030431,United States representative,Republican Party,Republican Party,Texas's 31st congressional district
US,Mike Turner,http://www.wikidata.org/entity/Q505722,male,repmiketurner,51228911,United States representative,Republican Party,Republican Party,Ohio's 10th congressional district
US,Steve Chabot,http://www.wikidata.org/entity/Q506694,male,repstevechabot,237750442,United States representative,Republican Party,Republican Party,Ohio's 1st congressional district
US,Dan Lipinski,http://www.wikidata.org/entity/Q518424,male,replipinski,1009269193,United States representative,Democratic Party,Democratic Party,Illinois's 3rd congressional district
US,Chuck Fleischmann,http://www.wikidata.org/entity/Q521959,male,repchuck,235190657,United States representative,Republican Party,Republican Party,Tennessee's 3rd congressional district
US,Steve King,http://www.wikidata.org/entity/Q749710,male,stevekingia,48117116,United States representative,Republican Party,Republican Party,Iowa's 4th congressional district
US,Mario Díaz-Balart,http://www.wikidata.org/entity/Q767270,male,mariodb,37094727,United States representative,Republican Party || Democratic Party,Republican Party,Florida's 25th congressional district
US,Billy Long,http://www.wikidata.org/entity/Q863171,male,usreplong,1444015610,United States representative,Republican Party,Republican Party,Missouri's 7th congressional district
US,Larry Bucshon,http://www.wikidata.org/entity/Q944286,male,replarrybucshon,234812598,United States representative,Republican Party,Republican Party,Indiana's 8th congressional district
US,Raúl Grijalva,http://www.wikidata.org/entity/Q946606,male,repraulgrijalva,28602948,United States representative,Democratic Party || Raza Unida Party,Democratic Party,Arizona's 3rd congressional district
US,Frank Pallone,http://www.wikidata.org/entity/Q965289,male,frankpallone || pallonefornj,31801993 || 1265423480,United States representative,Democratic Party,Democratic Party,New Jersey's 6th congressional district
US,Hank Johnson,http://www.wikidata.org/entity/Q983537,male,rephankjohnson,24745957,United States representative,Democratic Party,Democratic Party,Georgia's 4th congressional district
US,John Sarbanes,http://www.wikidata.org/entity/Q984509,male,repsarbanes,364415553,United States representative,Democratic Party,Democratic Party,Maryland's 3rd congressional district
US,Jeff Duncan,http://www.wikidata.org/entity/Q1027026,male,repjeffduncan,240393970,United States representative,Republican Party,Republican Party,South Carolina's 3rd congressional district
US,Joaquín Castro,http://www.wikidata.org/entity/Q1167934,male,joaquincastrotx,231510077,United States representative,Democratic Party,Democratic Party,Texas's 20th congressional district
US,Emanuel Cleaver,http://www.wikidata.org/entity/Q1334654,male,repcleaver,163570705,United States representative,Democratic Party,Democratic Party,Missouri's 5th congressional district
US,Jerry McNerney,http://www.wikidata.org/entity/Q1344743,male,repmcnerney,385429543,United States representative,Democratic Party,Democratic Party,California's 9th congressional district
US,Tom Graves,http://www.wikidata.org/entity/Q1647301,male,reptomgraves,190328374,United States representative,Republican Party,Republican Party,Georgia's 14th congressional district
US,Jim Himes,http://www.wikidata.org/entity/Q1689111,male,jahimes,31611298,United States representative,Democratic Party,Democratic Party,Connecticut's 4th congressional district
US,Pete Olson,http://www.wikidata.org/entity/Q2073303,male,reppeteolson,20053279,United States representative,Republican Party,Republican Party,Texas's 22nd congressional district
US,Scott DesJarlais,http://www.wikidata.org/entity/Q2260839,male,desjarlaistn04,235312723,United States representative,Republican Party,Republican Party,Tennessee's 4th congressional district
US,Brad Schneider,http://www.wikidata.org/entity/Q2923426,male,repschneider || schneider4il10,1071840474 || 278005891,United States representative,Democratic Party,Democratic Party,Illinois's 10th congressional district
US,Don Beyer,http://www.wikidata.org/entity/Q3036086,male,repdonbeyer,2962868158,United States representative,Democratic Party,Democratic Party,Virginia's 8th congressional district
US,Ted Yoho,http://www.wikidata.org/entity/Q3090476,male,reptedyoho,1071900114,United States representative,Republican Party,Republican Party,Florida's 3rd congressional district
US,Mark Meadows,http://www.wikidata.org/entity/Q3956796,male,repmarkmeadows,975198558461800449,United States representative,Republican Party,Republican Party,North Carolina's 11th congressional district
US,Andy Levin,http://www.wikidata.org/entity/Q4760938,male,repandylevin,1080277407867772930,United States representative,Democratic Party,Democratic Party,Michigan's 9th congressional district
US,Ben McAdams,http://www.wikidata.org/entity/Q4886138,male,repbenmcadams,196362083,United States representative,Democratic Party || Utah Democratic Party,Democratic Party,Utah's 4th congressional district
US,Bonnie Watson Coleman,http://www.wikidata.org/entity/Q4942457,female,repbonnie,2968451607,United States representative,Democratic Party,Democratic Party,New Jersey's 12th congressional district
