countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Lindsey Graham,http://www.wikidata.org/entity/Q22212,male,lindseygrahamsc,432895323,United States senator,Republican Party,Republican Party,South Carolina Class 2 senate seat
US,Maria Cantwell,http://www.wikidata.org/entity/Q22250,female,senatorcantwell,117501995,United States senator,Democratic Party,Democratic Party,Washington Class 1 senate seat
US,Jeanne Shaheen,http://www.wikidata.org/entity/Q270316,female,senatorshaheen,109287731,United States senator,Democratic Party,Democratic Party,New Hampshire Class 2 senate seat
US,Sherrod Brown,http://www.wikidata.org/entity/Q381880,male,sensherrodbrown,43910797,United States senator,Democratic Party,Democratic Party,Ohio Class 1 senate seat
US,Jon Tester,http://www.wikidata.org/entity/Q529351,male,senatortester,515822213,United States senator,Democratic Party,Democratic Party,Montana Class 1 senate seat
US,Pat Roberts,http://www.wikidata.org/entity/Q538375,male,senpatroberts,75364211,United States senator,Republican Party,Republican Party,Kansas Class 2 senate seat
US,John Barrasso,http://www.wikidata.org/entity/Q720521,male,senjohnbarrasso,202206694,United States senator,Republican Party,Republican Party,Wyoming Class 1 senate seat
US,Tom Udall,http://www.wikidata.org/entity/Q957690,male,senatortomudall,60828944,United States senator,Democratic Party,Democratic Party,New Mexico Class 2 senate seat
US,Cory Booker,http://www.wikidata.org/entity/Q1135767,male,corybooker,15808765,United States senator,Democratic Party,Democratic Party,New Jersey Class 2 senate seat
US,Deb Fischer,http://www.wikidata.org/entity/Q2580649,female,senatorfischer,1071402577,United States senator,Republican Party,Republican Party,Nebraska Class 1 senate seat
US,Steve Daines,http://www.wikidata.org/entity/Q3200900,male,stevedaines,11651202,United States senator,Republican Party,Republican Party,Montana Class 2 senate seat
US,Kevin Cramer,http://www.wikidata.org/entity/Q3957020,male,kevincramer,28267055,United States senator,Republican Party || North Dakota Republican Party,Republican Party,North Dakota Class 1 senate seat
US,John Neely Kennedy,http://www.wikidata.org/entity/Q6250211,male,johnkennedyla || senjohnkennedy,26594419 || 816683274076614656,United States senator,Republican Party || Democratic Party,Republican Party,Louisiana Class 3 senate seat
