Title,Category,Img,Country,URL,Domain,Ideology
ACHNews,left,left8.png,United States,https://achnews.org/,achnews.org,Left
Act.TV,left,left4.png,United States,http://act.tv,act.tv,Left
Aftonbladet,left,left9.png,Sweden,https://www.aftonbladet.se,aftonbladet.se,Left
Al DIA,left,left4.png,United States,https://aldianews.com,aldianews.com,Left
Alliance for Justice (AFJ),left,left8.png,United States,https://www.afj.org/,afj.org,Left
Alt News,left,left10.png,India,https://www.altnews.in,altnews.in,Left
AlterNet,left,left2.png,United States,https://www.alternet.org/,alternet.org,Left
Amandla,left,left7.png,South Africa,http://aidc.org.za/amandla-media/,aidc.org.za,Left
AmericaBlog,left,left7.png,United States,http://americablog.com/,americablog.com,Left
American Bridge 21st Century,left,left5.png,United States,https://americanbridgepac.org/,americanbridgepac.org,Left
ANX Media (American News X),left,left3.png,United States,http://anx.media/,anx.media,Left
American Oversight,left,left7.png,United States,https://www.americanoversight.org,americanoversight.org,Left
Americans United for Separation of Church and State,left,left12.png,,https://www.au.org/,au.org,Left
Angry White Men,left,left9.png,United States,https://angrywhitemen.org,angrywhitemen.org,Left
AntiFascist News,left,left12.png,United States,https://antifascistnews.net/,antifascistnews.net,Left
Attack The System,left,left2.png,United States,https://attackthesystem.com/,attackthesystem.com,Left
AutoStraddle,left,left7.png,,https://www.autostraddle.com/,autostraddle.com,Left
Baltimore City Paper,left,left9.png,United States,https://www.baltimoresun.com/citypaper/,baltimoresun.com,Left
Bay Area Reporter,left,left12.png,United States,https://www.ebar.com/,ebar.com,Left
Being Liberal,left,left3.png,United States,https://www.facebook.com/pg/beingliberal.org,facebook.com,Left
BillMoyers.com,left,left8.png,United States,https://billmoyers.com/,billmoyers.com,Left
Bitch Media,left,left8.png,United States,https://bitchmedia.org/,bitchmedia.org,Left
Black Agenda Report,left,left1.png,United States,https://blackagendareport.com/,blackagendareport.com,Left
Black America Web,left,left8.png,United States,https://blackamericaweb.com/,blackamericaweb.com,Left
