Title,twitter,Ideology,URL,URL Reconstruct,URL Redirect Reconstruct,Location,Parent,Parent URL,Parent Country
act.tv,actdottv,Left,http://www.act.tv,act.tv,act.tv,,Act.TV,http://act.tv,United States
Aftonbladet,aftonbladet,Left,https://www.aftonbladet.se,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Kultur,aftonbladetk,Left,http://www.aftonbladet.se/kultur,aftonbladet.se,aftonbladet.se,"Stockholm, Sweden",Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Debatt,abdebatt,Left,http://www.aftonbladet.se/debatt,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Nöje,aftonbladetnoje,Left,http://www.aftonbladet.se/nojesbladet/,aftonbladet.se,aftonbladet.se,Sverige,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Resa,aftonbladetresa,Left,http://www.aftonbladet.se/resa,aftonbladet.se,aftonbladet.se,,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Mat&Vin,abmatvin,Left,http://www.aftonbladet.se/matvin/,aftonbladet.se,aftonbladet.se,Sweden,Aftonbladet,https://www.aftonbladet.se,Sweden
Aftonbladet Retro,aftretro,Left,http://www.aftonbladet.se,aftonbladet.se,aftonbladet.se,Stockholm,Aftonbladet,https://www.aftonbladet.se,Sweden
Alliance for Justice,afjustice,Left,http://www.afj.org,afj.org,afj.org,"Washington, DC",Alliance for Justice (AFJ),https://www.afj.org/,United States
Alt News,altnews,Left,https://www.altnews.in,altnews.in,altnews.in,,Alt News,https://www.altnews.in,India
Alt News Science,altnewsscience,Left,https://www.altnews.in/topics/science/,altnews.in,altnews.in,,Alt News,https://www.altnews.in,India
AlterNet,alternet,Left,http://www.alternet.org,alternet.org,alternet.org,,AlterNet,https://www.alternet.org/,United States
Amandla!,amandlamedia,Left,http://www.aidc.org.za/amandla-media,aidc.org.za,aidc.org.za,South Africa,Amandla,http://aidc.org.za/amandla-media/,South Africa
AMERICAblog News,americablog,Left,http://americablog.com,americablog,americablog,"Washington, DC",AmericaBlog,http://americablog.com/,United States
American Bridge 21st Century,american_bridge,Left,http://americanbridgepac.org,americanbridgepac.org,americanbridgepac.org,America,American Bridge 21st Century,https://americanbridgepac.org/,United States
American Oversight,weareoversight,Left,http://americanoversight.org,americanoversight.org,americanoversight.org,,American Oversight,https://www.americanoversight.org,United States
Austin Evers,arevers,Left,http://www.americanoversight.org,americanoversight.org,americanoversight.org,"Washington, DC",American Oversight,https://www.americanoversight.org,United States
American Oversight en Español,ojocorrupcion,Left,http://www.americanoversight.org,americanoversight.org,americanoversight.org,,American Oversight,https://www.americanoversight.org,United States
Americans United,americansunited,Left,https://www.au.org/,au.org,au.org,"Washington, D.C.",Americans United for Separation of Church and State,https://www.au.org/,Unknown
ARV,attackthesystem,Left,http://attackthesystem.com,attackthesystem,attackthesystem,USA,Attack The System,https://attackthesystem.com/,United States
Autostraddle,autostraddle,Left,http://autostraddle.com,autostraddle,autostraddle,United States,AutoStraddle,https://www.autostraddle.com/,Unknown
Heather Hogan,theheatherhogan,Left,http://www.autostraddle.com/author/heatherannehogan/,autostraddle,autostraddle,"New York, NY",AutoStraddle,https://www.autostraddle.com/,Unknown
Carmen Phillips,carmencitaloves,Left,http://autostraddle.com/author/c-p,autostraddle,autostraddle,,AutoStraddle,https://www.autostraddle.com/,Unknown
Bay Area Reporter,ebarnews,Left,http://www.ebar.com,ebar,ebar,San Francisco Bay Area,Bay Area Reporter,https://www.ebar.com/,United States
BillMoyers.com,billmoyers,Left,http://www.billmoyers.com,billmoyers,billmoyers,,BillMoyers.com,https://billmoyers.com/,United States
Bitch Media,bitchmedia,Left,http://bitchmedia.org,bitchmedia.org,bitchmedia.org,"Portland, OR",Bitch Media,https://bitchmedia.org/,United States
Black Agenda Report,blkagendareport,Left,http://www.blackagendareport.com,blackagendareport,blackagendareport,the real world,Black Agenda Report,https://blackagendareport.com/,United States
Glen Ford,glenfordbar,Left,http://www.blackagendareport.com,blackagendareport,blackagendareport,"Plainfield, NJ USA",Black Agenda Report,https://blackagendareport.com/,United States
The Black Agenda Review,agendareview,Left,"https://blackagendareport.com/author/editors,%20the%20black%20agenda%20review",blackagendareport,blackagendareport,Pan-Africa.,Black Agenda Report,https://blackagendareport.com/,United States
AnnGarrison,anngarrison,Left,"https://www.blackagendareport.com/author/ann%20garrison,%20bar%20contributing%20editor",blackagendareport,blackagendareport,"Berkeley, CA",Black Agenda Report,https://blackagendareport.com/,United States
BAR Book Forum,barbookforum,Left,https://www.blackagendareport.com/search?key=bar+book+forum,blackagendareport,blackagendareport,,Black Agenda Report,https://blackagendareport.com/,United States
